danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms
0.667,0.361,-8.69,0.0273,0.575,0.00506,0.0805,0.29,134.018,2jdAk8ATWIL3dwT47XpRfu,242000
0.651,0.497,-7.039,0.0432,0.301,0.0,0.0945,0.592,75.992,6465KnsDLxiKq3mNPxXF41,219443
0.812,0.479,-6.47,0.0429,0.0485,0.0,0.102,0.0873,95.505,33QRsLBBdWDYgCZfWEZqR6,173045
0.664,0.705,-4.972,0.0382,0.0654,0.0,0.115,0.477,122.017,6sy3LkhNFjJWlaeSMNwQ62,257840
0.516,0.764,-6.223,0.0366,0.0717,0.0,0.115,0.376,148.021,1NhPKVLsHhFUHIOZ32QnS2,224693
0.49,0.845,-4.49,0.033,0.0661,0.0,0.0893,0.267,92.495,5mJYbynCB0ufq4D26EcRVU,223853
0.634,0.69,-7.804,0.052,0.0771,0.0,0.132,0.645,94.988,6OtCIsQZ64Vs1EbzztvAv4,253307
0.768,0.852,-4.017,0.123,0.118,0.0,0.0712,0.752,91.993,2vrxPT5lJ6K8vvmCvt4Yhs,262173
0.374,0.344,-11.94,0.0304,0.355,0.0,0.0966,0.216,106.415,3vOmmLuvEUgGaVuRsCs2QF,188940
0.546,0.221,-8.915,0.063,0.868,0.0,0.0994,0.593,128.144,5nJzWhlrBfn3cfDLlaAgAO,181505
0.652,0.539,-6.641,0.0392,0.289,0.0,0.0843,0.484,80.113,5lWSnt4Jq2b8llyiCKW366,194693
0.689,0.562,-7.048,0.0637,0.0656,0.0,0.0885,0.21,133.987,2PN3gbuBn5WBEwrEJH3xiu,291133
0.723,0.809,-3.081,0.0625,0.00346,0.00123,0.565,0.274,98.007,2YWjW3wwQIBLNhxWKBQd16,176561
0.435,0.561,-9.308,0.143,0.29,1.55e-06,0.197,0.231,80.209,4z8c9qkpiYghn6DCQ6yA0u,237798
0.874,0.692,-5.28,0.0431,0.0412,7.24e-05,0.324,0.937,116.017,55h7vJchibLdUkxdlX3fK7,178560
0.673,0.886,-4.44,0.0431,0.185,0.0,0.0826,0.795,97.012,4HlFJV71xXKIGcU3kRyttv,216773
0.23,0.492,-5.767,0.0317,0.568,8.18e-06,0.176,0.262,160.139,57uX2vR9j9DNiANDYfXw1i,256613
0.738,0.482,-8.917,0.0402,0.0266,0.621,0.106,0.352,93.457,27jdUE1EYDSXZqhjuNxLem,285014
0.597,0.685,-6.371,0.0367,0.0245,0.000335,0.182,0.369,122.002,06Hdbxh6NCy6TIhjdXTchB,209208
0.729,0.591,-7.544,0.0385,0.24,0.0,0.111,0.42,97.002,7ieV1TBSMyf5sFiPh9X2ai,226320
0.574,0.512,-6.664,0.0503,0.234,0.0,0.0946,0.512,76.899,4rHZZAmHpZrA3iH5zx8frV,484147
